source,page,code,original_code,name
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000002,P760000002,16 zones de détection collectives
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000003,P760000003,16 zones de détection collectives
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000005,P760000005,2 bus adressés gamme I.Scan
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000028,P760000028,2 bus adressés gamme I.Scan
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000128,P760000128,2 bus adressés gamme I.Scan
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000017,P760000017,diffusion d’alarme indépendantes pour UGA 1
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000018,P760000018,mise en sécurité indépendantes
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000021,P760000021,2 fonctions de mise en sécurité indépendantes
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000022,P760000022,4 fonctions de mise en sécurité indépendantes
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000023,P760000023,8 fonctions de mise en sécurité indépendantes
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,26,P760000024,P760000024,8 fonctions de mise en sécurité indépendantes
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000006,P760000006,12 relais
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000007,P760000007,24 relais
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000008,P760000008,24 relais
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000034,P760000034,Carte CFC 4 voies
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000035,P760000035,Carte CFC 8 voies
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000135,P760000135,Carte CFC 8 voies
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000029,P760000029,4 voies de transmission pour matériel déporté type MAP
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000030,P760000030,8 voies de transmission pour matériel déporté type MAP
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000130,P760000130,8 voies de transmission pour matériel déporté type MAP
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000031,P760000031,mande et de 4 lignes de contrôle
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000032,P760000032,mande et de 8 lignes de contrôle
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000033,P760000033,Matériel déporté équipé de 8 relais
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000041,P760000041,4 voies de transmission
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000044,P760000044,CE10435G
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000144,P760000144,CE10435G
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000042,P760000042,CE70051
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000142,P760000142,CE70051
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,117,670000010,670 000 010,BOITIER ISOLON
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000027,P760000027,P8800001+
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,27,P760000127,P760000127,P8800001+
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,600200300,600200300,MODULE DE PUISSANCE V3
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,450040006,450040006,MODULE MAP
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,117,408503265,408 503 265,M.A.P . BOÎTIER IP66
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,117,600200001,600 200 001,•  Accessoire pour raccordement
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,117,600200028,600 200 028,•  Accessoire pour raccordement
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,117,690000015,690 000 015,MODULE INTERFACE 1 RELAIS RESONANCE
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,690000115,690000115,MODULE 1 RELAIS DEPORTE
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,450040013,450040013,MODULE DE PROTECTION SATC
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,450020036,450020036,FILTRE DAS G
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,P760000055,P760000055,IN.REP+ Evac P760000055
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,P760000056,P760000056,IN.REP+ Evac/Mes P760000056
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,P780000010,P780000010,INNOVA TRE P780000010
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,P790000004,P790000004,OBTURATEUR IN
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,690000009,690000009,BAIE 42U 600X600
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,28,690000010,690000010,PORTE BAIE 42U
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,29,P710000001,P710000001,INITIUM-I CAB-S ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,29,415002049,415002049,Batteries ECS :  (x2)
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,29,P710000002,P710000002,INITIUM-I 2F CAB-S ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,30,P740000001,P740000001,INFLUENCE-I SANS UGA CAB-S ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,30,P740000002,P740000002,INFLUENCE-I SANS UGA CAB-M ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,30,P740000003,P740000003,INFLUENCE-I SANS UGA CAB-L ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,30,P740000004,P740000004,INFLUENCE-I SANS UGA RACK ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,31,P740000007,P740000007,INFLUENCE-I CAB-L ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,31,P740000005,P740000005,INFLUENCE-I CAB-S ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,31,P740000006,P740000006,INFLUENCE-I CAB-M ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,31,P740000008,P740000008,INFLUENCE-I RACK ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,32,P740000010,P740000010,INFLUENCE-I CAB-M 4F DIRECTE ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,32,P740000011,P740000011,INFLUENCE-I CAB-M 8F DIRECTE ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,32,P740000009,P740000009,INFLUENCE-IS CAB-L ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,33,P720000001,P720000001,INITIUM-S 8F CAB-M ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,33,P720000002,P720000002,INITIUM-S 8F CAB-L ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,33,P720000003,P720000003,INITIUM-S 8F RACK ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,34,P750000001,P750000001,INFLUENCE-S CAB-M ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,34,P750000003,P750000003,INFLUENCE-S RACK ()
CTLG-9001936_Catalogue - Produits et Systèmes INfluence.pdf,34,P750000002,P750000002,INFLUENCE-S CAB-L ()
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,26,600000343,600 000 343,UTI Pack CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,10,430140024CS,430 140 024 CS,ALARME TECHNIQUE
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,10,430140034CS,430 140 034 CS,Caractéristiques techniques
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,11,430140025CS,430 140 025 CS,ALARME TECHNIQUE
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,11,402120109,402 120 109,Caractéristiques techniques
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,14,643200001,643 200 001,Éclairage de sécurité - Services
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,14,643200003,643 200 003,Éclairage de sécurité - Services
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,14,643200002,643 200 002,Performances
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,14,643200004,643 200 004,INSA 3000
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,15,640000003,640 000 003,Détecteur optique de fumée collectif C.Scan+ O
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,44,640000006,640 000 006,Socle C.Scan+  √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,15,627000008,627 000 008,Déclencheur manuel sans LED DM MCP1A-R910SF-A207-01
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,15,627000009,627 000 009,"Déclencheur manuel sans LED, avec couvercle DM MCP1A-R910SF-A207-01C"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,15,627000011,627 000 011,Déclencheur manuel avec LED DM MCP2A-R910SF-A207-01
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,15,627000012,627 000 012,Déclencheur manuel avec LED et couvercle DM MCP2A-R910SF-A207-01C
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,108,670000007,670 000 007,RÉPÉTITEURS / FAD / MCO
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,446300035CS,446 300 035 CS,SDAD / DAC
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,640000109,640 000 109,Certification
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,640000007,640 000 007,C.SCAN M multicapteurs conv
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,640000008,640 000 008,C.SCAN O optique conv
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,640000009,640000009,C.SCAN T thermostatique conv
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,42,640000010,640 000 010,C.Scan TV  Détecteur thermovélocimétrique
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,42,640000011,640 000 011,Socle C.Scan  √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,640000002,640 000 002,C.SCAN + M multicapteurs conv
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,44,640000004,640 000 004,C.Scan+ T  Détecteur thermostatique
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,44,640000005,640 000 005,C.Scan+ TV  Détecteur thermovélocimétrique
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,627000025,627 000 025,BCM MCP3A-R000SF-A207-03
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,627000026,627 000 026,BCM MCP3A-R000SF-A207-03C
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,427200216,427 200 216,DM A clé ré-armement DAD
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,446300036CS,446 300 036 CS,Kit DAD secouru Chubb
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,19,446300037CS,446 300 037 CS,Kit DAD secouru 2 Chubb
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,630140017CS,630 140 017 CS,ÉQUIPEMENTS D'ALARME
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,630140018CS,630 140 018 CS,Certification
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,627000005,627 000 005,DM MCP3A-R000SF-A207-01
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,627000006,627 000 006,DM MCP3A-R000SF-A207-01C
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,627000015,627 000 015,DM WCP3A-R000SF-A207-01
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,300520000,300 520 000,Module de télécommande TMS  009
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,640100126,640 100 126,DS ROLP AB socle bas / DS ROLP AB socle haut  / 640 100 127
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,640100127,640 100 127,DS ROLP AB socle bas / DS ROLP AB socle haut 640 100 126 /
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,640100130,640 100 130,DS / DL ROLP VAD
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,627000122,627 000 122,DVAF Solista rouge mur socle bas
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,627000123,627 000 123,DVAF Solista rouge mur socle haut
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,627000124,627 000 124,DVAF Solista rouge plafond socle bas
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,20,627000125,627 000 125,DVAF Solista rouge plafond socle haut
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,21,630140022CS,630 140 022 CS,des personnes en situation de handicap.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,21,630140020CS,630 140 020 CS,des personnes en situation de handicap.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,21,630140015CS,630 140 015 CS,
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,23,630140023CS,630 140 023 CS,SON'ECLA BAAS Sa NFS V Chubb
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,23,630140021CS,630 140 021 CS,SON'ECLA BAAS Sa Me NFS V Chubb
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,22,630140016CS,630 140 016 CS,La version lumineuse seule permet de
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,22,630140030CS,630 140 030 CS,- Courant de coupure : 1 A.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,22,630140032CS,630 140 032 CS,- Courant de coupure : 1 A.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,22,630140031CS,630 140 031 CS,
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,24,600000001,600 000 001,"UTC Pack 2 Evac  2 zones de détection collectives, 1 UGA avec 1 zone de diffusion d’alarme et 1 alimentation"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,24,600000002,600 000 002,"UTC Pack 4 Evac  4 zones de détection collectives, 1 UGA avec 1 zone de diffusion d’alarme et 1 alimentation"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,24,600000084,600 000 084,"UTC Pack 2ZD Evac/2 Fonc Evol.  Deux zones de détection collective, 1 UGA avec 1 zone de diffusion d’alarme, 2 fonctions de mise"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,24,600000085,600 000 085,"UTC Pack 4ZD Evac/2 Fonc Evol.  Quatre zones de détection collective, 1 UGA avec 1 zone de diffusion d’alarme, 2 fonctions de"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000206,600 000 206,"UTC Com 8 CAB-S V2  8 zones de détection collectives, 1 UGA avec 1 zone de diffusion d’alarme, 2 alimentations secourues"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000209,600 000 209,"UTC Com  8 CAB-M V2  8 zones de détection collectives, 1 UGA avec 1 zone de diffusion d’alarme et de 2 alimentations secou-"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000210,600 000 210,"UTC Com 16 CAB-M V2  16 zones de détection collectives, 1 UGA avec 1 zone de diffusion d’alarme, 2 alimentations secourues"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000212,600 000 212,"UTC Com  8 CAB-L V2  8 zones de détection collectives, 1 UGA avec 1 zone de diffusion d’alarme, 2 alimentations secourues"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000215,600 000 215,"UTC Com  8 Rack V2  8 zones de détection collectives, 1 UGA avec 1 zone de diffusion d’alarme, 2 alimentations secourues"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000270,600 000 270,"CAB-S  V2  8 zones de détection collective, 1 UGA avec 1 zone de diffusion d’alarme, 2 fonctions de mise en sécurité et 2"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000271,600 000 271,"CAB-S  V2  8 zones de détection collective, 1 UGA avec 1 zone de diffusion d’alarme, 3 fonctions de mise en sécurité et 2"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,25,600000272,600 000 272,CAB-S  V2
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,26,600000359,600 000 359,CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,26,600000360,600 000 360,CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,26,600000361,600 000 361,CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,27,600000375,600 000 375,UTI Com CAB-S sans UGA V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,27,600000376,600 000 376,UTI Com CAB-M sans UGA V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,27,600000377,600 000 377,UTI Com CAB-L sans UGA V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,27,600000378,600 000 378,UTI Com Rack sans UGA V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,27,600000316,600 000 316,UTI Com CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000319,600 000 319,UTI Com  CAB-M V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000320,600 000 320,UTI Com CAB-L V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000321,600 000 321,UTI Com Rack V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000379,600 000 379,CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000380,600 000 380,CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000381,600 000 381,CAB-S V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000328,600 000 328,CAB-M CF16 V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000329,600 000 329,CAB-L  CF16 V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000334,600 000 334,CAB-M non équipé V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,28,600000335,600 000 335,CAB-L non équipé V3
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,30,600000087,600 000 087,"CATB  4 zones de détection collectives, 1 zone de diffusion d’alarme, 2 fonctions de mise en sécurité et"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,30,600000088,600 000 088,"CATB  4 zones de détection collectives, 1 zone de diffusion d’alarme, 4 fonctions de mise en sécurité et"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,31,600000289,600 000 289,CAB-S CATB V2
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,31,600000290,600 000 290,CAB-S CATB V2
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,31,600000241,600 000 241,"CATB V2          8 zones de détection collectives pour déclencheurs manuels, 1 zone de diffusion d’alarme et"
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,32,600000330,600 000 330,équipé CF V3  Non équipé de carte de commande et de signalisation. Coffret CAB-S.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,32,600000331,600 000 331,Non équipé de carte de commande et de signalisation. Coffret CAB-M.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,32,600000324,600 000 324,Equipé de la carte de commande et de signalisation CF16F pour 16 fonctions indépendantes. Coffret CAB-M.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,32,600000332,600 000 332,Non équipé de carte de commande et de signalisation. Coffret CAB-L.
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,32,600000333,600 000 333,"Non équipé de carte de commande et de signalisation. Rack 19"" / 4U."
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,34,110114130,110 114 130,E 85
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,34,100125129,100 125 129,F  145
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,34,115140144,115 140 144,G  160
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,40,640000965,640 000 965,DAAF 29-FR  Pile Alcaline 1 an
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,40,640000103,640 000 103,DAAF 29 H-FR  Pile Alcaline 1 an - bouton HUSH
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,40,640000102,640 000 102,DAAF 29 LD-FR  Pile Lithium 5 ans
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,40,640000104,640 000 104,DAAF 29 HLD-FR  Pile Lithium 5 ans - bouton HUSH
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,40,640000108,640 000 108,10Y29  Pile Lithium 10 ans - bouton HUSH
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,40,640000135,640 000 135,DAACO 10 LLCO  Pile Lithium 10 ans
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,40,640000136,640 000 136,DAACO 10 LLDCO  Pile Lithium 10 ans + afficheur
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,444000026,444 000 026,Indicateur d'action visuel standard IA 2000  √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,444000027,444 000 027,Indicateur d'action visuel et sonore IA 2000-B  √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,011444000,011 444 000,Indicateur d'action visuel encastré IA  015 √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,013444000,013 444 000,Indicateur d'action visuel étanche IA  025 √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,440190009,440 190 009,Collerette d'encastrement CES3+  √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,440190008,440 190 008,Boîtier de montage en saillie BMS3+  √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,440100095,440 100 095,Grille de protection mécanique  √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,440100096,440 100 096,Protection anti-vandalisme  √ √ √ √ √ √ √
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,42,440100293,440 100 293,Détecteur de gaine DG13 V2  √ √ - -
CTLG-9001639_Catalogue - Produits et Systèmes CHUBB.pdf,50,640000057,640 000 057,Support inclinable pour détecteur  √ √ √ √ √ √ √
